entry_local_idx,entry_raw_t,exit_raw_t,entry_timestamp,exit_timestamp,side,exit_type,time_to_exit_bars,realized_return,gross_pnl,net_pnl,backtest_mode
8,13082,13084,2021-04-16 13:35:00+00:00,2021-04-16 13:37:00+00:00,-1,lower,2,-0.00220331153832376,0.00220331153832376,0.0019033115383237601,realized_event_entry_model
10,13084,13085,2021-04-16 13:37:00+00:00,2021-04-16 13:38:00+00:00,-1,upper,1,0.0021257386542856693,-0.0021257386542856693,-0.0024257386542856692,realized_event_entry_model
11,13085,13086,2021-04-16 13:38:00+00:00,2021-04-16 13:39:00+00:00,1,lower,1,-0.00221263337880373,-0.00221263337880373,-0.00251263337880373,realized_event_entry_model
13,13087,13088,2021-04-16 13:40:00+00:00,2021-04-16 13:41:00+00:00,1,lower,1,-0.002443887060508132,-0.002443887060508132,-0.002743887060508132,realized_event_entry_model
14,13088,13091,2021-04-16 13:41:00+00:00,2021-04-16 13:44:00+00:00,1,lower,3,-0.003000000026077032,-0.003000000026077032,-0.003300000026077032,realized_event_entry_model
17,13091,13093,2021-04-16 13:44:00+00:00,2021-04-16 13:46:00+00:00,1,lower,2,-0.003000000026077032,-0.003000000026077032,-0.003300000026077032,realized_event_entry_model
19,13093,13096,2021-04-16 13:46:00+00:00,2021-04-16 13:49:00+00:00,1,lower,3,-0.003000000026077032,-0.003000000026077032,-0.003300000026077032,realized_event_entry_model
22,13096,13098,2021-04-16 13:49:00+00:00,2021-04-16 13:51:00+00:00,1,lower,2,-0.003000000026077032,-0.003000000026077032,-0.003300000026077032,realized_event_entry_model
24,13098,13101,2021-04-16 13:51:00+00:00,2021-04-16 13:54:00+00:00,1,upper,3,0.003000000026077032,0.003000000026077032,0.002700000026077032,realized_event_entry_model
27,13101,13102,2021-04-16 13:54:00+00:00,2021-04-16 13:55:00+00:00,1,upper,1,0.003000000026077032,0.003000000026077032,0.002700000026077032,realized_event_entry_model
28,13102,13106,2021-04-16 13:55:00+00:00,2021-04-16 13:59:00+00:00,1,lower,4,-0.003000000026077032,-0.003000000026077032,-0.003300000026077032,realized_event_entry_model
32,13106,13107,2021-04-16 13:59:00+00:00,2021-04-16 14:00:00+00:00,-1,upper,1,0.003000000026077032,-0.003000000026077032,-0.003300000026077032,realized_event_entry_model
33,13107,13108,2021-04-16 14:00:00+00:00,2021-04-16 14:01:00+00:00,1,upper,1,0.003000000026077032,0.003000000026077032,0.002700000026077032,realized_event_entry_model
34,13108,13113,2021-04-16 14:01:00+00:00,2021-04-16 14:06:00+00:00,1,upper,5,0.003000000026077032,0.003000000026077032,0.002700000026077032,realized_event_entry_model
45,13119,13124,2021-04-16 14:12:00+00:00,2021-04-16 14:17:00+00:00,1,vertical,5,-0.0005089358310215175,-0.0005089358310215175,-0.0008089358310215175,realized_event_entry_model
50,13124,13126,2021-04-16 14:17:00+00:00,2021-04-16 14:19:00+00:00,1,lower,2,-0.003000000026077032,-0.003000000026077032,-0.003300000026077032,realized_event_entry_model
52,13126,13128,2021-04-16 14:19:00+00:00,2021-04-16 14:21:00+00:00,1,upper,2,0.003000000026077032,0.003000000026077032,0.002700000026077032,realized_event_entry_model
54,13128,13131,2021-04-16 14:21:00+00:00,2021-04-16 14:24:00+00:00,1,upper,3,0.003000000026077032,0.003000000026077032,0.002700000026077032,realized_event_entry_model
57,13131,13132,2021-04-16 14:24:00+00:00,2021-04-16 14:25:00+00:00,1,upper,1,0.003000000026077032,0.003000000026077032,0.002700000026077032,realized_event_entry_model
58,13132,13136,2021-04-16 14:25:00+00:00,2021-04-16 14:29:00+00:00,-1,upper,4,0.003000000026077032,-0.003000000026077032,-0.003300000026077032,realized_event_entry_model
63,13137,13139,2021-04-16 14:30:00+00:00,2021-04-16 14:32:00+00:00,-1,upper,2,0.003000000026077032,-0.003000000026077032,-0.003300000026077032,realized_event_entry_model
66,13140,13145,2021-04-16 14:33:00+00:00,2021-04-16 14:38:00+00:00,-1,vertical,5,-0.0019988270942121744,0.0019988270942121744,0.0016988270942121745,realized_event_entry_model
71,13145,13149,2021-04-16 14:38:00+00:00,2021-04-16 14:42:00+00:00,1,upper,4,0.003000000026077032,0.003000000026077032,0.002700000026077032,realized_event_entry_model
75,13149,13154,2021-04-16 14:42:00+00:00,2021-04-16 14:47:00+00:00,-1,vertical,5,-0.0019850179087370634,0.0019850179087370634,0.0016850179087370635,realized_event_entry_model
84,13158,13163,2021-04-16 14:51:00+00:00,2021-04-16 14:56:00+00:00,-1,vertical,5,0.0005416938802227378,-0.0005416938802227378,-0.0008416938802227378,realized_event_entry_model
89,13163,13166,2021-04-16 14:56:00+00:00,2021-04-16 14:59:00+00:00,-1,lower,3,-0.0024197997990995646,0.0024197997990995646,0.0021197997990995646,realized_event_entry_model
99,13173,13178,2021-04-16 15:06:00+00:00,2021-04-16 15:11:00+00:00,-1,vertical,5,-0.00010977983038173988,0.00010977983038173988,-0.00019022016961826014,realized_event_entry_model
104,13178,13179,2021-04-16 15:11:00+00:00,2021-04-16 15:12:00+00:00,-1,lower,1,-0.002090464113280177,0.002090464113280177,0.0017904641132801772,realized_event_entry_model
105,13179,13180,2021-04-16 15:12:00+00:00,2021-04-16 15:13:00+00:00,1,lower,1,-0.0019267844036221504,-0.0019267844036221504,-0.0022267844036221503,realized_event_entry_model
106,13180,13181,2021-04-16 15:13:00+00:00,2021-04-16 15:14:00+00:00,1,upper,1,0.002021253341808915,0.002021253341808915,0.0017212533418089152,realized_event_entry_model
