entry_local_idx,entry_raw_t,exit_raw_t,entry_timestamp,exit_timestamp,side,exit_type,time_to_exit_bars,realized_return,gross_pnl,net_pnl,backtest_mode
27,127258,127273,2021-04-14 22:04:41+00:00,2021-04-14 22:04:56+00:00,-1,lower,15,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
42,127273,127274,2021-04-14 22:04:56+00:00,2021-04-14 22:04:57+00:00,-1,lower,1,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
43,127274,127282,2021-04-14 22:04:57+00:00,2021-04-14 22:05:05+00:00,-1,upper,8,0.0004094585310667753,-0.0004094585310667753,-0.0007094585310667753,realized_event_entry_model
65,127296,127303,2021-04-14 22:05:19+00:00,2021-04-14 22:05:26+00:00,-1,upper,7,0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
81,127312,127318,2021-04-14 22:05:35+00:00,2021-04-14 22:05:41+00:00,-1,lower,6,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
87,127318,127320,2021-04-14 22:05:41+00:00,2021-04-14 22:05:43+00:00,-1,lower,2,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
89,127320,127325,2021-04-14 22:05:43+00:00,2021-04-14 22:05:48+00:00,-1,upper,5,0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
243,127474,127475,2021-04-14 22:08:17+00:00,2021-04-14 22:08:18+00:00,-1,lower,1,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
244,127475,127489,2021-04-14 22:08:18+00:00,2021-04-14 22:08:32+00:00,-1,upper,14,0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
285,127516,127520,2021-04-14 22:08:59+00:00,2021-04-14 22:09:03+00:00,-1,lower,4,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
289,127520,127524,2021-04-14 22:09:03+00:00,2021-04-14 22:09:07+00:00,-1,lower,4,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
