entry_local_idx,entry_raw_t,exit_raw_t,entry_timestamp,exit_timestamp,side,exit_type,time_to_exit_bars,realized_return,gross_pnl,net_pnl,backtest_mode
11,308991,308997,2021-04-17 00:33:34+00:00,2021-04-17 00:33:40+00:00,-1,lower,6,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
21,309001,309005,2021-04-17 00:33:44+00:00,2021-04-17 00:33:48+00:00,-1,lower,4,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
37,309017,309019,2021-04-17 00:34:00+00:00,2021-04-17 00:34:02+00:00,-1,upper,2,0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
39,309019,309021,2021-04-17 00:34:02+00:00,2021-04-17 00:34:04+00:00,1,upper,2,0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
86,309066,309082,2021-04-17 00:34:49+00:00,2021-04-17 00:35:05+00:00,1,upper,16,0.0004376527213025838,0.0004376527213025838,0.00013765272130258379,realized_event_entry_model
102,309082,309085,2021-04-17 00:35:05+00:00,2021-04-17 00:35:08+00:00,1,upper,3,0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
105,309085,309090,2021-04-17 00:35:08+00:00,2021-04-17 00:35:13+00:00,1,upper,5,0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
110,309090,309092,2021-04-17 00:35:13+00:00,2021-04-17 00:35:15+00:00,1,upper,2,0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
124,309104,309108,2021-04-17 00:35:27+00:00,2021-04-17 00:35:31+00:00,1,lower,4,-0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
134,309114,309120,2021-04-17 00:35:37+00:00,2021-04-17 00:35:43+00:00,1,upper,6,0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
142,309122,309129,2021-04-17 00:35:45+00:00,2021-04-17 00:35:52+00:00,1,upper,7,0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
154,309134,309150,2021-04-17 00:35:57+00:00,2021-04-17 00:36:13+00:00,1,upper,16,0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
188,309168,309172,2021-04-17 00:36:31+00:00,2021-04-17 00:36:35+00:00,-1,lower,4,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
193,309173,309201,2021-04-17 00:36:36+00:00,2021-04-17 00:37:04+00:00,-1,lower,28,-0.0004089970316272229,0.0004089970316272229,0.00010899703162722287,realized_event_entry_model
222,309202,309207,2021-04-17 00:37:05+00:00,2021-04-17 00:37:10+00:00,-1,lower,5,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
230,309210,309222,2021-04-17 00:37:13+00:00,2021-04-17 00:37:25+00:00,-1,upper,12,0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
242,309222,309229,2021-04-17 00:37:25+00:00,2021-04-17 00:37:32+00:00,1,upper,7,0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
249,309229,309243,2021-04-17 00:37:32+00:00,2021-04-17 00:37:46+00:00,1,lower,14,-0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
284,309264,309265,2021-04-17 00:38:07+00:00,2021-04-17 00:38:08+00:00,1,upper,1,0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
285,309265,309266,2021-04-17 00:38:08+00:00,2021-04-17 00:38:09+00:00,1,upper,1,0.0004751523374579847,0.0004751523374579847,0.00017515233745798466,realized_event_entry_model
286,309266,309282,2021-04-17 00:38:09+00:00,2021-04-17 00:38:25+00:00,1,upper,16,0.0005100577254779637,0.0005100577254779637,0.00021005772547796366,realized_event_entry_model
307,309287,309300,2021-04-17 00:38:30+00:00,2021-04-17 00:38:43+00:00,1,lower,13,-0.0005167003837414086,-0.0005167003837414086,-0.0008167003837414086,realized_event_entry_model
324,309304,309319,2021-04-17 00:38:47+00:00,2021-04-17 00:39:02+00:00,1,lower,15,-0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
349,309329,309331,2021-04-17 00:39:12+00:00,2021-04-17 00:39:14+00:00,1,upper,2,0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
355,309335,309340,2021-04-17 00:39:18+00:00,2021-04-17 00:39:23+00:00,1,lower,5,-0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
361,309341,309352,2021-04-17 00:39:24+00:00,2021-04-17 00:39:35+00:00,1,upper,11,0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
372,309352,309357,2021-04-17 00:39:35+00:00,2021-04-17 00:39:40+00:00,1,lower,5,-0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
406,309386,309390,2021-04-17 00:40:09+00:00,2021-04-17 00:40:13+00:00,1,upper,4,0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
410,309390,309398,2021-04-17 00:40:13+00:00,2021-04-17 00:40:21+00:00,1,upper,8,0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
425,309405,309411,2021-04-17 00:40:28+00:00,2021-04-17 00:40:34+00:00,1,upper,6,0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
431,309411,309418,2021-04-17 00:40:34+00:00,2021-04-17 00:40:41+00:00,1,lower,7,-0.00041320655145682395,-0.00041320655145682395,-0.000713206551456824,realized_event_entry_model
439,309419,309420,2021-04-17 00:40:42+00:00,2021-04-17 00:40:43+00:00,1,upper,1,0.00042515003588050604,0.00042515003588050604,0.000125150035880506,realized_event_entry_model
440,309420,309430,2021-04-17 00:40:43+00:00,2021-04-17 00:40:53+00:00,1,lower,10,-0.0004351806128397584,-0.0004351806128397584,-0.0007351806128397584,realized_event_entry_model
460,309440,309443,2021-04-17 00:41:03+00:00,2021-04-17 00:41:06+00:00,1,upper,3,0.0004868862743023783,0.0004868862743023783,0.00018688627430237827,realized_event_entry_model
463,309443,309459,2021-04-17 00:41:06+00:00,2021-04-17 00:41:22+00:00,1,lower,16,-0.00045619512093253434,-0.00045619512093253434,-0.0007561951209325344,realized_event_entry_model
493,309473,309476,2021-04-17 00:41:36+00:00,2021-04-17 00:41:39+00:00,1,lower,3,-0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
516,309496,309505,2021-04-17 00:41:59+00:00,2021-04-17 00:42:08+00:00,1,lower,9,-0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
530,309510,309539,2021-04-17 00:42:13+00:00,2021-04-17 00:42:42+00:00,1,lower,29,-0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
563,309543,309545,2021-04-17 00:42:46+00:00,2021-04-17 00:42:48+00:00,1,upper,2,0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
565,309545,309548,2021-04-17 00:42:48+00:00,2021-04-17 00:42:51+00:00,1,lower,3,-0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
581,309561,309567,2021-04-17 00:43:04+00:00,2021-04-17 00:43:10+00:00,1,upper,6,0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
587,309567,309569,2021-04-17 00:43:10+00:00,2021-04-17 00:43:12+00:00,1,lower,2,-0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
612,309592,309594,2021-04-17 00:43:35+00:00,2021-04-17 00:43:37+00:00,1,lower,2,-0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
633,309613,309617,2021-04-17 00:43:56+00:00,2021-04-17 00:44:00+00:00,-1,upper,4,0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
637,309617,309623,2021-04-17 00:44:00+00:00,2021-04-17 00:44:06+00:00,1,lower,6,-0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
645,309625,309638,2021-04-17 00:44:08+00:00,2021-04-17 00:44:21+00:00,1,lower,13,-0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
666,309646,309651,2021-04-17 00:44:29+00:00,2021-04-17 00:44:34+00:00,1,lower,5,-0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
677,309657,309675,2021-04-17 00:44:40+00:00,2021-04-17 00:44:58+00:00,1,upper,18,0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
703,309683,309684,2021-04-17 00:45:06+00:00,2021-04-17 00:45:07+00:00,1,upper,1,0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
704,309684,309693,2021-04-17 00:45:07+00:00,2021-04-17 00:45:16+00:00,1,upper,9,0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
714,309694,309714,2021-04-17 00:45:17+00:00,2021-04-17 00:45:37+00:00,1,upper,20,0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
734,309714,309737,2021-04-17 00:45:37+00:00,2021-04-17 00:46:00+00:00,1,upper,23,0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
778,309758,309773,2021-04-17 00:46:21+00:00,2021-04-17 00:46:36+00:00,1,lower,15,-0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
793,309773,309774,2021-04-17 00:46:36+00:00,2021-04-17 00:46:37+00:00,-1,lower,1,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
794,309774,309778,2021-04-17 00:46:37+00:00,2021-04-17 00:46:41+00:00,-1,upper,4,0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
798,309778,309791,2021-04-17 00:46:41+00:00,2021-04-17 00:46:54+00:00,1,upper,13,0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
811,309791,309832,2021-04-17 00:46:54+00:00,2021-04-17 00:47:35+00:00,1,lower,41,-0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
