entry_local_idx,entry_raw_t,exit_raw_t,entry_timestamp,exit_timestamp,side,exit_type,time_to_exit_bars,realized_return,gross_pnl,net_pnl,backtest_mode
58,283391,283405,2021-04-16 17:26:54+00:00,2021-04-16 17:27:08+00:00,-1,lower,14,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
73,283406,283419,2021-04-16 17:27:09+00:00,2021-04-16 17:27:22+00:00,-1,lower,13,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
86,283419,283436,2021-04-16 17:27:22+00:00,2021-04-16 17:27:39+00:00,-1,upper,17,0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
172,283505,283520,2021-04-16 17:28:48+00:00,2021-04-16 17:29:03+00:00,-1,lower,15,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
200,283533,283576,2021-04-16 17:29:16+00:00,2021-04-16 17:29:59+00:00,-1,upper,43,0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
335,283668,283669,2021-04-16 17:31:31+00:00,2021-04-16 17:31:32+00:00,-1,upper,1,0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
339,283672,283676,2021-04-16 17:31:35+00:00,2021-04-16 17:31:39+00:00,-1,upper,4,0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
353,283686,283719,2021-04-16 17:31:49+00:00,2021-04-16 17:32:22+00:00,-1,lower,33,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
447,283780,283787,2021-04-16 17:33:23+00:00,2021-04-16 17:33:30+00:00,-1,lower,7,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
457,283790,283796,2021-04-16 17:33:33+00:00,2021-04-16 17:33:39+00:00,-1,lower,6,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
463,283796,283804,2021-04-16 17:33:39+00:00,2021-04-16 17:33:47+00:00,-1,lower,8,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
471,283804,283813,2021-04-16 17:33:47+00:00,2021-04-16 17:33:56+00:00,-1,lower,9,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
485,283818,283862,2021-04-16 17:34:01+00:00,2021-04-16 17:34:45+00:00,-1,lower,44,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
530,283863,283898,2021-04-16 17:34:46+00:00,2021-04-16 17:35:21+00:00,-1,upper,35,0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
607,283940,283969,2021-04-16 17:36:03+00:00,2021-04-16 17:36:32+00:00,-1,upper,29,0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
636,283969,283972,2021-04-16 17:36:32+00:00,2021-04-16 17:36:35+00:00,1,upper,3,0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
669,284002,284004,2021-04-16 17:37:05+00:00,2021-04-16 17:37:07+00:00,-1,upper,2,0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
694,284027,284060,2021-04-16 17:37:30+00:00,2021-04-16 17:38:03+00:00,-1,upper,33,0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
754,284087,284092,2021-04-16 17:38:30+00:00,2021-04-16 17:38:35+00:00,-1,lower,5,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
789,284122,284131,2021-04-16 17:39:05+00:00,2021-04-16 17:39:14+00:00,-1,lower,9,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
809,284142,284262,2021-04-16 17:39:25+00:00,2021-04-16 17:41:25+00:00,-1,vertical,120,0.00016780583246145397,-0.00016780583246145397,-0.000467805832461454,realized_event_entry_model
932,284265,284268,2021-04-16 17:41:28+00:00,2021-04-16 17:41:31+00:00,-1,lower,3,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
936,284269,284274,2021-04-16 17:41:32+00:00,2021-04-16 17:41:37+00:00,-1,lower,5,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
941,284274,284277,2021-04-16 17:41:37+00:00,2021-04-16 17:41:40+00:00,-1,upper,3,0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
981,284314,284363,2021-04-16 17:42:17+00:00,2021-04-16 17:43:06+00:00,-1,lower,49,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
1040,284373,284385,2021-04-16 17:43:16+00:00,2021-04-16 17:43:28+00:00,-1,lower,12,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
1052,284385,284392,2021-04-16 17:43:28+00:00,2021-04-16 17:43:35+00:00,-1,upper,7,0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
1071,284404,284442,2021-04-16 17:43:47+00:00,2021-04-16 17:44:25+00:00,-1,lower,38,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
1109,284442,284454,2021-04-16 17:44:25+00:00,2021-04-16 17:44:37+00:00,-1,lower,12,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
1133,284466,284467,2021-04-16 17:44:49+00:00,2021-04-16 17:44:50+00:00,-1,lower,1,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
1166,284499,284515,2021-04-16 17:45:22+00:00,2021-04-16 17:45:38+00:00,-1,upper,16,0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
1187,284520,284541,2021-04-16 17:45:43+00:00,2021-04-16 17:46:04+00:00,-1,lower,21,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
1211,284544,284562,2021-04-16 17:46:07+00:00,2021-04-16 17:46:25+00:00,-1,upper,18,0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
1233,284566,284572,2021-04-16 17:46:29+00:00,2021-04-16 17:46:35+00:00,-1,lower,6,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
1240,284573,284595,2021-04-16 17:46:36+00:00,2021-04-16 17:46:58+00:00,-1,lower,22,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
1263,284596,284601,2021-04-16 17:46:59+00:00,2021-04-16 17:47:04+00:00,-1,lower,5,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
1268,284601,284611,2021-04-16 17:47:04+00:00,2021-04-16 17:47:14+00:00,-1,lower,10,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
1291,284624,284660,2021-04-16 17:47:27+00:00,2021-04-16 17:48:03+00:00,-1,upper,36,0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
1364,284697,284727,2021-04-16 17:48:40+00:00,2021-04-16 17:49:10+00:00,-1,upper,30,0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
1403,284736,284740,2021-04-16 17:49:19+00:00,2021-04-16 17:49:23+00:00,-1,lower,4,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
1411,284744,284820,2021-04-16 17:49:27+00:00,2021-04-16 17:50:43+00:00,-1,lower,76,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
1487,284820,284827,2021-04-16 17:50:43+00:00,2021-04-16 17:50:50+00:00,-1,lower,7,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
1503,284836,284851,2021-04-16 17:50:59+00:00,2021-04-16 17:51:14+00:00,-1,lower,15,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
1524,284857,284896,2021-04-16 17:51:20+00:00,2021-04-16 17:51:59+00:00,-1,upper,39,0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
1566,284899,284908,2021-04-16 17:52:02+00:00,2021-04-16 17:52:11+00:00,-1,upper,9,0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
1577,284910,284924,2021-04-16 17:52:13+00:00,2021-04-16 17:52:27+00:00,-1,upper,14,0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
1597,284930,284968,2021-04-16 17:52:33+00:00,2021-04-16 17:53:11+00:00,-1,lower,38,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
1636,284969,284998,2021-04-16 17:53:12+00:00,2021-04-16 17:53:41+00:00,-1,upper,29,0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
1693,285026,285033,2021-04-16 17:54:09+00:00,2021-04-16 17:54:16+00:00,-1,lower,7,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
1700,285033,285072,2021-04-16 17:54:16+00:00,2021-04-16 17:54:55+00:00,-1,upper,39,0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
1781,285114,285129,2021-04-16 17:55:37+00:00,2021-04-16 17:55:52+00:00,-1,lower,15,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
1874,285207,285211,2021-04-16 17:57:10+00:00,2021-04-16 17:57:14+00:00,-1,lower,4,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
1878,285211,285247,2021-04-16 17:57:14+00:00,2021-04-16 17:57:50+00:00,-1,upper,36,0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
1918,285251,285256,2021-04-16 17:57:54+00:00,2021-04-16 17:57:59+00:00,-1,lower,5,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
1924,285257,285270,2021-04-16 17:58:00+00:00,2021-04-16 17:58:13+00:00,-1,lower,13,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
2004,285337,285343,2021-04-16 17:59:20+00:00,2021-04-16 17:59:26+00:00,-1,lower,6,-0.0004692253714893013,0.0004692253714893013,0.0001692253714893013,realized_event_entry_model
2011,285344,285397,2021-04-16 17:59:27+00:00,2021-04-16 18:00:20+00:00,-1,lower,53,-0.0004840015899389982,0.0004840015899389982,0.0001840015899389982,realized_event_entry_model
2125,285458,285459,2021-04-16 18:01:21+00:00,2021-04-16 18:01:22+00:00,-1,lower,1,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
2134,285467,285473,2021-04-16 18:01:30+00:00,2021-04-16 18:01:36+00:00,-1,lower,6,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
2181,285514,285555,2021-04-16 18:02:17+00:00,2021-04-16 18:02:58+00:00,-1,upper,41,0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
2232,285565,285592,2021-04-16 18:03:08+00:00,2021-04-16 18:03:35+00:00,-1,lower,27,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
2264,285597,285609,2021-04-16 18:03:40+00:00,2021-04-16 18:03:52+00:00,-1,lower,12,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
2303,285636,285638,2021-04-16 18:04:19+00:00,2021-04-16 18:04:21+00:00,-1,lower,2,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
2311,285644,285654,2021-04-16 18:04:27+00:00,2021-04-16 18:04:37+00:00,-1,lower,10,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
2464,285797,285799,2021-04-16 18:07:00+00:00,2021-04-16 18:07:02+00:00,-1,lower,2,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
2473,285806,285829,2021-04-16 18:07:09+00:00,2021-04-16 18:07:32+00:00,-1,upper,23,0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
2513,285846,285847,2021-04-16 18:07:49+00:00,2021-04-16 18:07:50+00:00,-1,lower,1,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
2566,285899,285923,2021-04-16 18:08:42+00:00,2021-04-16 18:09:06+00:00,-1,upper,24,0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
2657,285990,285994,2021-04-16 18:10:13+00:00,2021-04-16 18:10:17+00:00,-1,lower,4,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
2665,285998,285999,2021-04-16 18:10:21+00:00,2021-04-16 18:10:22+00:00,-1,lower,1,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
2667,286000,286005,2021-04-16 18:10:23+00:00,2021-04-16 18:10:28+00:00,-1,upper,5,0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
2689,286022,286024,2021-04-16 18:10:45+00:00,2021-04-16 18:10:47+00:00,-1,lower,2,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
2699,286032,286040,2021-04-16 18:10:55+00:00,2021-04-16 18:11:03+00:00,-1,upper,8,0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
2728,286061,286070,2021-04-16 18:11:24+00:00,2021-04-16 18:11:33+00:00,-1,lower,9,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
2756,286089,286101,2021-04-16 18:11:52+00:00,2021-04-16 18:12:04+00:00,-1,lower,12,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
2774,286107,286117,2021-04-16 18:12:10+00:00,2021-04-16 18:12:20+00:00,-1,lower,10,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
2820,286153,286158,2021-04-16 18:12:56+00:00,2021-04-16 18:13:01+00:00,-1,upper,5,0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
2837,286170,286188,2021-04-16 18:13:13+00:00,2021-04-16 18:13:31+00:00,-1,upper,18,0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
2896,286229,286245,2021-04-16 18:14:12+00:00,2021-04-16 18:14:28+00:00,-1,upper,16,0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
2916,286249,286269,2021-04-16 18:14:32+00:00,2021-04-16 18:14:52+00:00,-1,lower,20,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
2936,286269,286319,2021-04-16 18:14:52+00:00,2021-04-16 18:15:42+00:00,-1,lower,50,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
3046,286379,286384,2021-04-16 18:16:42+00:00,2021-04-16 18:16:47+00:00,-1,lower,5,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
3051,286384,286393,2021-04-16 18:16:47+00:00,2021-04-16 18:16:56+00:00,-1,lower,9,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
3068,286401,286419,2021-04-16 18:17:04+00:00,2021-04-16 18:17:22+00:00,-1,upper,18,0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
