entry_local_idx,entry_raw_t,exit_raw_t,entry_timestamp,exit_timestamp,side,exit_type,time_to_exit_bars,realized_return,gross_pnl,net_pnl,backtest_mode
125,309105,309108,2021-04-17 00:35:28+00:00,2021-04-17 00:35:31+00:00,1,lower,3,-0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
143,309123,309129,2021-04-17 00:35:46+00:00,2021-04-17 00:35:52+00:00,1,upper,6,0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
238,309218,309219,2021-04-17 00:37:21+00:00,2021-04-17 00:37:22+00:00,1,upper,1,0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
349,309329,309331,2021-04-17 00:39:12+00:00,2021-04-17 00:39:14+00:00,1,upper,2,0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
519,309499,309504,2021-04-17 00:42:02+00:00,2021-04-17 00:42:07+00:00,1,lower,5,-0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
536,309516,309540,2021-04-17 00:42:19+00:00,2021-04-17 00:42:43+00:00,1,lower,24,-0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
585,309565,309567,2021-04-17 00:43:08+00:00,2021-04-17 00:43:10+00:00,1,upper,2,0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
677,309657,309675,2021-04-17 00:44:40+00:00,2021-04-17 00:44:58+00:00,1,upper,18,0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
714,309694,309714,2021-04-17 00:45:17+00:00,2021-04-17 00:45:37+00:00,1,upper,20,0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
806,309786,309791,2021-04-17 00:46:49+00:00,2021-04-17 00:46:54+00:00,1,upper,5,0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
858,309838,309841,2021-04-17 00:47:41+00:00,2021-04-17 00:47:44+00:00,1,upper,3,0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
862,309842,309848,2021-04-17 00:47:45+00:00,2021-04-17 00:47:51+00:00,1,upper,6,0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
1088,310068,310071,2021-04-17 00:51:31+00:00,2021-04-17 00:51:34+00:00,-1,lower,3,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
1091,310071,310074,2021-04-17 00:51:34+00:00,2021-04-17 00:51:37+00:00,-1,lower,3,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
1095,310075,310077,2021-04-17 00:51:38+00:00,2021-04-17 00:51:40+00:00,1,upper,2,0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
1097,310077,310081,2021-04-17 00:51:40+00:00,2021-04-17 00:51:44+00:00,1,lower,4,-0.00039999998989515007,-0.00039999998989515007,-0.0006999999898951501,realized_event_entry_model
1115,310095,310098,2021-04-17 00:51:58+00:00,2021-04-17 00:52:01+00:00,1,upper,3,0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
1126,310106,310135,2021-04-17 00:52:09+00:00,2021-04-17 00:52:38+00:00,1,upper,29,0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
1254,310234,310253,2021-04-17 00:54:17+00:00,2021-04-17 00:54:36+00:00,1,upper,19,0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
1345,310325,310331,2021-04-17 00:55:48+00:00,2021-04-17 00:55:54+00:00,-1,lower,6,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
1408,310388,310398,2021-04-17 00:56:51+00:00,2021-04-17 00:57:01+00:00,1,upper,10,0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
1504,310484,310492,2021-04-17 00:58:27+00:00,2021-04-17 00:58:35+00:00,-1,lower,8,-0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
1543,310523,310541,2021-04-17 00:59:06+00:00,2021-04-17 00:59:24+00:00,1,upper,18,0.00039999998989515007,0.00039999998989515007,9.999998989515004e-05,realized_event_entry_model
1605,310585,310600,2021-04-17 01:00:08+00:00,2021-04-17 01:00:23+00:00,1,upper,15,0.00040714535862207413,0.00040714535862207413,0.0001071453586220741,realized_event_entry_model
